ColID;Treat;Eggscol;SK;Note
137;large_colony;72;0,006153846;" Eggscol: total number of egg produced in the colony; SK: reproductive skew"
145;large_colony;15;0,076923077;
163;small_colony;45;0,249783924;
192;large_colony;48;0,507772022;
229;large_colony;43;0,216972035;
276;large_colony;55;0,342465753;
281;large_colony;52;0,135172415;
282;large_colony;45;0,471698114;
297;large_colony;45;0,753846154;
398;large_colony;65;0,257731958;
465;small_colony;6;0,977217981;
489;small_colony;18;0,471698114;
491;large_colony;42;0,977217981;
505;small_colony;31;0,710067114;
527;small_colony;2;0;
535;large_colony;73;0,018222387;
538;large_colony;60;0;
559;small_colony;38;0,048648648;
572;small_colony;26;0,743494425;
592;small_colony;57;0,200000001;
639;small_colony;36;0,942903752;
711;small_colony;10;0,529411765;
715;small_colony;7;0,310344827;
736;small_colony;60;0,054054054;
